0	0
0.5	0.23971
1	0.84147
1.5	1.4962
2	1.8186
2.5	1.4962
3	0.42336
3.5	-1.2277
4	-3.0272
4.5	-4.3989
5	-4.7946
5.5	-3.8805
6	-1.6765
6.5	1.3983
7	4.5989
7.5	7.035
8	7.9149
8.5	6.7871
9	3.7091
9.5	-0.71394
10	-5.4402
10.5	-9.2368
11	-11
11.5	-10.068
12	-6.4389
12.5	-0.82902
13	5.4622
13.5	10.851
14	13.869
14.5	13.556
15	9.7543
15.5	3.2002
16	-4.6065
16.5	-11.744
17	-16.344
17.5	-17.073
18	-13.518
18.5	-6.3359
19	2.8477
19.5	11.808
20	18.259
20.5	20.435
21	17.57
21.5	10.14
22	-0.19473
22.5	-10.961
23	-19.463
23.5	-23.455
24	-21.734
24.5	-14.488
25	-3.3088
25.5	9.156
26	19.827
26.5	25.953
27	25.822
27.5	19.229
28	7.5854
28.5	-6.377
29	-19.245
29.5	-27.76
30	-29.641
30.5	-24.19
31	-12.525
31.5	2.6452
32	17.646
32.5	28.726
33	32.997
33.5	29.183
34	17.989
34.5	1.9833
35	-14.986
35.5	-28.72
36	-35.704
36.5	-34.008
37	-23.811
37.5	-7.4175
38	11.262
38.5	27.642
39	37.588
39.5	38.459
40	29.805
40.5	13.533
41	-6.5035
41.5	-25.421
42	-38.494
42.5	-42.334
43	-35.766
43.5	-20.176
44	0.77888
44.5	22.022
45	38.291
45.5	45.436
46	41.482
46.5	27.165
47	5.8079
47.5	-17.447
48	-36.876
48.5	-47.584
49	-46.734
49.5	-34.298
50	-13.119
50.5	11.735
51	34.182
51.5	48.615
52	51.305
52.5	41.355
53	20.984
53.5	-4.9643
54	-30.175
54.5	-48.395
55	-54.987
55.5	-48.105
56	-29.207
56.5	-2.7486
57	24.861
57.5	46.816
58	57.587
58.5	54.315
59	37.568
59.5	11.252
60	-18.289
60.5	-43.809
61	-58.933
61.5	-59.753
62	-45.829
62.5	-20.362
63	10.543
63.5	39.34
64	58.882
64.5	64.195
65	53.744
65.5	29.865
66	-1.7524
66.5	-33.42
67	-57.32
67.5	-67.434
68	-61.059
68.5	-39.524
69	-7.9202
69.5	26.099
70	54.172
70.5	69.286
71	67.525
71.5	49.083
72	18.275
72.5	-17.471
73	-49.404
73.5	-69.595
74	-72.901
74.5	-58.276
75	-29.084
75.5	7.6709
76	43.024
76.5	68.239
77	76.963
77.5	66.829
78	40.09
78.5	3.1248
79	-35.085
79.5	-65.134
80	-79.511
80.5	-74.474
81	-51.021
81.5	-14.704
82	25.685
82.5	60.24
83	80.374
83.5	80.95
84	61.588
84.5	26.822
85	-14.966
85.5	-53.562
86	-79.417
86.5	-86.013
87	-71.498
87.5	-39.205
88	3.1151
88.5	45.152
89	76.546
89.5	89.444
90	80.46
90.5	51.561
91	9.6449
91.5	-35.11
92	-71.711
92.5	-91.055
93	-88.19
93.5	-63.581
94	-23.054
94.5	23.583
95	64.91
95.5	90.695
96	94.424
96.5	74.949
97	36.822
97.5	-10.764
98	-56.191
98.5	-88.254
99	-98.921
99.5	-85.351
100	-50.637
